ID,Brand,Model,Type,Connectivity,Driver Type,Freq Low (Hz),Freq High (Hz),Impedance (Ω),Sensitivity (dB),THD (%),Cable Length (m),Weight (g),Microphone,Noise Cancellation,Foldable,Battery (hrs),BT Version,Codecs,Charging Port,Water Rating,Color,Price (USD),Release Year,Warranty (yrs),Avg Rating,Review Count,Primary Use,Form Factor,Open/Closed
308,Unique Melody,N459,Wired,3.5mm,Balanced Armature,5,20000,8,115.7,0.0044,1.5,6.5,True,False,False,,,,,IPX4,Matte Black,400,2018,1,4,1241,Bass/Casual,In-Ear,Closed
309,Tribit,Go 4,Wireless,Bluetooth,Balanced Armature,20,20000,22,107.8,0.0111,,4.2,True,True,False,40,5.3,"aptX,AAC,SBC",USB-C,IP54,Pearl White,190,2022,1,3.9,2230,Sport/Fitness,In-Ear,Closed
310,Amazfit,Veritas 2,Wireless,Bluetooth,Dynamic,18,25000,40,104.1,0.0097,,209,True,False,True,27.3,4.2,SBC,USB-C,IPX4,Matte Black,70,2024,1,4.1,1083,Bass/Casual,On-Ear,Closed
311,AKG,IE529,Wired,3.5mm,Balanced Armature,10,22000,18,107.9,0.0028,1,12.9,False,False,False,,,,,None,Titanium,280,2023,2,4.3,711,Commuting/Travel,In-Ear,Closed
312,Pioneer,Active,Wireless,Bluetooth,Balanced Armature,10,24000,16,100.9,0.0034,,4.9,True,True,True,28.7,5.2,"AAC,SBC",USB-C,IP54,Rose Gold,210,2020,2,4.7,761,Work/Office,In-Ear,Closed
313,Kinera,MDR 100X,Wired,3.5mm,Dynamic,4,50000,60,96.8,0.0122,1.2,318,True,False,True,,,,,None,Midnight Blue,210,2019,2,4.1,620,Sport/Fitness,Over-Ear,Closed
314,Grado,ER157,Wired,3.5mm,Balanced Armature,14,30000,32,106.8,0.0098,1,26.2,False,False,False,,,,,None,Cream,150,2019,3,3.9,1382,Bass/Casual,In-Ear,Closed
315,Skullcandy,ER813,Wired,3.5mm,Dynamic,15,40000,120,100.5,0.0057,1,12.4,False,False,False,,,,,None,Rose Gold,190,2021,3,4.4,882,Sport/Fitness,In-Ear,Closed
316,JBL,LCD 1000X,Wired,3.5mm,Dynamic,12,25000,150,94.6,0.0031,1.2,303,True,False,False,,,,,None,Carbon,140,2024,2,3.5,938,Budget/Everyday,Over-Ear,Open
317,Cleer,Live 700,Wireless,Bluetooth,Dynamic,20,35000,50,95.1,0.0077,,241,True,True,True,32.1,5.0,"aptX,AAC,SBC",USB-C,IPX4,Cosmic Black,150,2018,1,4,712,Work/Office,Over-Ear,Closed
318,Skullcandy,Core,Wireless,Bluetooth,Planar,10,40000,18,110.4,0.0057,,9.8,True,False,True,39.2,5.1,"aptX,AAC,SBC",USB-C,IP54,Matte Black,100,2019,2,4.4,2216,Gaming,In-Ear,Closed
319,JBL,HE 990 Studio,Wired,3.5mm,Planar,8,25000,600,105.7,0.006,1.2,375,False,False,False,,,,,None,Black,370,2021,2,4.5,6903,Gaming,Over-Ear,Closed
320,Sennheiser,SE167,Wired,3.5mm,Hybrid,8,40000,12,105,0.0027,1,12.6,False,False,False,,,,,IPX4,Carbon,70,2023,2,3.7,1023,Commuting/Travel,In-Ear,Closed
321,Edifier,Ultra 500,Wireless,Bluetooth,Planar,15,30000,24,107.9,0.0052,,275,True,True,True,38.8,5.2,SBC,USB-C,None,Brown,350,2023,1,4.7,692,Budget/Everyday,Over-Ear,Open
322,1MORE,Freedom 500,Wireless,Bluetooth,Dynamic,15,24000,32,105.5,0.0099,,9.9,True,False,False,20.4,5.0,"aptX HD,aptX,AAC,SBC",USB-C,IP54,Gunmetal,210,2020,2,4.5,615,Music/Casual,In-Ear,Closed
323,Koss,Dots 2,Wireless,Bluetooth,Dynamic,18,20000,18,110.9,0.0079,,10.1,True,False,True,31.4,5.2,"aptX,AAC,SBC",USB-C,None,Forest Green,80,2018,1,3.9,4081,Hi-Fi/Reference,In-Ear,Closed
324,Wyze,Pro 200,Wireless,Bluetooth,Dynamic,10,22000,16,103.5,0.007,,187,True,False,False,36.1,Multipoint 5.3,"AAC,SBC",USB-C,IP54,White,100,2021,2,3.8,5589,Hi-Fi/Reference,On-Ear,Closed
325,Beats,Air Pro,Wireless,Bluetooth,Dynamic,4,40000,32,96.1,0.0091,,239,True,False,True,26.7,Multipoint 5.3,"AAC,SBC",USB-C,None,Indigo,110,2018,2,4.5,5032,Music/Casual,Over-Ear,Closed
326,Unique Melody,DT 50 Studio,Wired,3.5mm,Planar,15,20000,32,93.2,0.0054,1.2,114,False,False,False,,,,,None,Red,290,2019,1,4.5,2330,Commuting/Travel,On-Ear,Closed
327,Nothing,Live 3,Wireless,Bluetooth,Dynamic,12,25000,24,94.2,0.0141,,202,True,True,True,42.2,5.2,"aptX HD,aptX,AAC,SBC",USB-C,IPX2,Midnight Blue,290,2019,2,4.1,2360,Music/Casual,Over-Ear,Closed
328,Sennheiser,Wave 3,Wireless,Bluetooth,Balanced Armature,15,24000,18,107.6,0.0136,,6.5,True,False,False,19.3,5.0,"LDAC,AAC,SBC",USB-C,IPX8,Carbon,130,2024,2,4.4,2400,Bass/Casual,In-Ear,Closed
329,1MORE,E641,Wired,3.5mm,Balanced Armature,20,40000,18,107.4,0.0015,1.2,16.5,False,False,False,,,,,IPX2,Navy,370,2019,1,3.9,298,Work/Office,In-Ear,Closed
330,Apple,Sparks X,Wireless,Bluetooth,Dynamic,10,22000,18,107.3,0.0076,,6.6,True,False,True,10.9,Multipoint 5.3,"aptX Adaptive,aptX HD,AAC,SBC",USB-C,IPX2,Champagne,210,2021,1,3.8,320,Studio/Pro,In-Ear,Closed
331,AKG,Zen Max,Wireless,Bluetooth,Planar,15,22000,48,97.5,0.0079,,281,True,True,True,50.7,5.1,"AAC,SBC",Micro-USB,IPX2,Navy,300,2023,1,4.3,7706,Hi-Fi/Reference,Over-Ear,Open
332,Panasonic,Vibe 1000,Wireless,Bluetooth,Planar,20,22000,48,104.2,0.0074,,283,True,False,False,19.7,5.2,"AAC,SBC",USB-C,IPX4,Gunmetal,130,2021,1,4.4,1677,Commuting/Travel,Over-Ear,Closed
333,Koss,Tune 2,Wireless,Bluetooth,Dynamic,20,20000,32,105.6,0.0199,,132,True,False,False,70.4,5.2,"AAC,SBC",USB-C,IPX4,Dark Green,70,2022,1,4.3,4596,Gaming,On-Ear,Closed
334,KZ,IE258,Wired,3.5mm,Dynamic,20,20000,16,97.3,0.0051,1.5,8.4,True,False,False,,,,,IPX2,Dark Green,170,2019,3,4.4,357,Music/Casual,In-Ear,Closed
335,JBL,Sparks Max,Wireless,Bluetooth,Balanced Armature,20,24000,32,109,0.0141,,11,True,False,True,27.1,Multipoint 5.3,"LHDC,AAC,SBC",Lightning,IP57,Indigo,160,2018,2,4.2,7867,Commuting/Travel,In-Ear,Closed
336,Beyerdynamic,ER81,Wired,3.5mm,Balanced Armature,10,40000,16,94.9,0.0027,1,9.6,False,False,False,,,,,IPX4,Dark Green,410,2018,3,4.6,37,Music/Casual,In-Ear,Closed
337,Sennheiser,Rush 300,Wireless,Bluetooth,Dynamic,20,20000,16,100.7,0.012,,4.1,True,True,False,22.9,5.2,"aptX,AAC,SBC",Lightning,IPX2,Graphite,130,2022,1,4.6,1060,Budget/Everyday,In-Ear,Closed
338,TOZO,Live 900,Wireless,Bluetooth,Dynamic,12,25000,64,95.4,0.0108,,326,True,False,False,56.1,5.2,"AAC,SBC",USB-C,IPX7,White,90,2023,1,3.9,6558,Studio/Pro,Over-Ear,Open
339,Bowers & Wilkins,Drops 3,Wireless,Bluetooth,Dynamic,18,40000,18,107.3,0.0078,,8.9,True,False,True,33.8,5.2,"aptX,AAC,SBC",Micro-USB,IPX4,White,120,2018,1,4.8,3579,Hi-Fi/Reference,In-Ear,Closed
340,Sensaphonics,T42,Wired,3.5mm,Balanced Armature,20,50000,100,94.7,0.005,1,16.1,False,False,False,,,,,None,Sand,160,2024,1,4.8,1535,Hi-Fi/Reference,In-Ear,Closed
341,Status Audio,K 150 Open,Wired,3.5mm,Dynamic,15,25000,400,101.4,0.0084,2,505,False,False,False,,,,,None,Midnight Blue,190,2017,2,4.4,2245,Bass/Casual,Over-Ear,Closed
342,1MORE,MDR 250,Wired,3.5mm,Electrostatic,18,20000,120,104.3,0.0136,1.2,165,True,False,False,,,,,None,Silver,200,2022,3,4.3,265,Gaming,On-Ear,Closed
343,Audeze,T689,Wired,3.5mm,Dynamic,5,50000,100,98.8,0.0083,1.2,24.3,False,False,False,,,,,None,Carbon,80,2023,2,4,376,Work/Office,In-Ear,Closed
344,Thieaudio,IE516,Wired,3.5mm,Hybrid,10,22000,18,113.7,0.0094,1,21.1,False,False,False,,,,,IPX4,White,220,2016,1,4.5,66,Commuting/Travel,In-Ear,Closed
345,Focal,Reference 900,Wireless,Bluetooth,Dynamic,5,22000,32,104.5,0.0129,,345,True,True,True,32.7,Multipoint 5.3,"LDAC,aptX,AAC,SBC",Micro-USB,IP57,Carbon,320,2024,1,4.3,1271,Studio/Pro,Over-Ear,Closed
346,Westone,DT 300,Wired,3.5mm,Dynamic,10,50000,60,106.7,0.0032,2.5,263,False,False,False,,,,,None,Carbon,370,2016,1,4.4,1497,Music/Audiophile,Over-Ear,Closed
347,Master & Dynamic,Go 300,Wireless,Bluetooth,Dynamic,15,25000,40,100.3,0.0052,,132,True,False,False,74.7,5.3,"aptX HD,aptX,AAC,SBC",USB-C,IPX8,Carbon,130,2018,2,4.4,12425,Sport/Fitness,On-Ear,Closed
348,Denon,Apex 1000,Wireless,Bluetooth,Electrostatic,20,25000,40,100.9,0.0128,,178,True,False,True,23.4,5.3,"LDAC,AAC,SBC",USB-C,None,Carbon,200,2023,1,4.7,350,Commuting/Travel,On-Ear,Closed
349,Anker Soundcore,Clear 300,Wireless,Bluetooth,Dynamic,18,22000,32,111.7,0.0109,,6,True,True,True,31.2,4.2,SBC,USB-C,IP57,Sand,240,2018,2,4.3,3042,Sport/Fitness,In-Ear,Closed
350,Sennheiser,Nano Pro,Wireless,Bluetooth,Dynamic,12,25000,24,104.2,0.0102,,299,True,True,True,33.3,5.0,"AAC,SBC",Lightning,IP57,Champagne,390,2020,2,4.2,572,Hi-Fi/Reference,Over-Ear,Open
351,Koss,HD 5,Wireless,Bluetooth,Dynamic,6,25000,64,100.1,0.0034,,309,True,False,False,43.1,5.3,SBC,Lightning,None,Titanium,100,2018,1,3.9,2011,Music/Audiophile,Over-Ear,Closed
352,Turtle Beach,Studio Pro,Wireless,Bluetooth,Planar,20,40000,32,102.2,0.0167,,217,True,True,True,72,5.0,"aptX HD,aptX,AAC,SBC",USB-C,None,Rose Gold,240,2020,2,3.9,461,Music/Casual,Over-Ear,Open
353,Focal,Series 3,Wireless,Bluetooth,Dynamic,15,22000,32,106.8,0.0062,,11.3,True,False,False,32.2,5.1,SBC,Micro-USB,IP57,Space Gray,150,2023,1,4.1,3878,Budget/Everyday,In-Ear,Closed
354,Simgot,EW292,Wired,3.5mm,Dynamic,20,20000,25,101.4,0.0038,1,19.6,False,False,False,,,,,None,Sand,240,2017,1,3.8,1160,Music/Casual,In-Ear,Closed
355,Audeze,RE519,Wired,3.5mm,Dynamic,5,50000,18,115.5,0.0077,1.5,14.8,False,False,False,,,,,None,Carbon,100,2024,2,4.5,6221,Sport/Fitness,In-Ear,Closed
356,Grado,Prestige Max,Wireless,Bluetooth,Planar,6,25000,16,98.7,0.0145,,350,True,True,True,27.1,5.2,"aptX,AAC,SBC",USB-C,IP55,Carbon,190,2024,1,4.1,189,Music/Casual,Over-Ear,Closed
357,Denon,Prestige Pro,Wireless,Bluetooth,Dynamic,12,25000,32,95.5,0.0089,,330,True,False,False,58.2,4.2,"aptX,AAC,SBC",USB-C,IPX7,Pearl White,90,2021,1,4.3,481,Music/Casual,Over-Ear,Closed
358,Marshall,Rhythm 5,Wireless,Bluetooth,Electrostatic,18,25000,32,96.9,0.0103,,163,True,True,False,33.2,5.2,"LDAC,AAC,SBC",Lightning,IPX4,Midnight Blue,160,2020,1,3.9,1417,Hi-Fi/Reference,On-Ear,Closed
359,UE,EW131,Wired,3.5mm,Dynamic,20,22000,32,111,0.008,1.2,16.5,False,False,False,,,,,IPX4,Indigo,70,2022,1,3.7,897,Commuting/Travel,In-Ear,Closed
360,Unique Melody,DT 400 Monitor,Wired,3.5mm,Electrostatic,5,40000,60,103.1,0.0044,2,468,False,False,True,,,,,None,Titanium,510,2020,1,4.2,1914,Bass/Casual,Over-Ear,Closed
361,64 Audio,ATH 150,Wired,3.5mm,Planar,5,35000,32,101.1,0.0032,1.2,333,False,False,True,,,,,None,Champagne,940,2024,2,3.9,743,Commuting/Travel,Over-Ear,Open
362,Turtle Beach,Tune,Wireless,Bluetooth,Dynamic,10,30000,32,106.7,0.0047,,233,True,True,False,29.2,4.2,SBC,Micro-USB,IPX4,Champagne,200,2021,1,3.9,5509,Gaming,Over-Ear,Closed
363,Unique Melody,HE253,Wired,3.5mm,Planar,5,22000,12,91.1,0.0097,1.5,23.8,True,False,False,,,,,IPX4,Silver,190,2019,2,4.3,227,Bass/Casual,In-Ear,Closed
364,JBL,HE 600 Open,Wired,3.5mm,Dynamic,15,50000,47,106.4,0.0029,2.5,383,False,False,False,,,,,None,Pearl White,130,2024,1,4,4361,Commuting/Travel,Over-Ear,Closed
365,Sivga,RE711,Wired,3.5mm,Dynamic,14,50000,64,105.7,0.0045,1.5,11.2,False,False,False,,,,,None,Rose Gold,80,2018,1,3.9,44790,Bass/Casual,In-Ear,Closed
366,Campfire Audio,IE313,Wired,3.5mm,Planar,8,20000,120,96.7,0.0014,1,26.7,True,False,False,,,,,None,Rose Gold,400,2020,1,4.4,29,Commuting/Travel,In-Ear,Closed
367,Monolith,HE95,Wired,3.5mm,Planar,14,50000,25,99.1,0.0015,1,24,False,False,False,,,,,IPX2,Space Gray,430,2019,2,4.3,1908,Work/Office,In-Ear,Closed
368,Kinera,IE846,Wired,3.5mm,Dynamic,15,40000,16,102.5,0.0076,1.2,13.5,True,False,False,,,,,IPX2,Champagne,150,2023,1,4.2,2252,Hi-Fi/Reference,In-Ear,Closed
369,Philips,ATH 1000 Studio,Wired,3.5mm,Dynamic,10,25000,300,106.4,0.0146,1.2,454,False,False,True,,,,,None,Silver,260,2018,1,4.1,5322,Hi-Fi/Reference,Over-Ear,Closed
370,Marshall,Mini 4,Wireless,Bluetooth,Dynamic,6,30000,64,101.9,0.0106,,229,True,False,True,54.5,5.3,"aptX Adaptive,aptX HD,AAC,SBC",Micro-USB,None,Champagne,140,2020,2,4.4,633,Commuting/Travel,Over-Ear,Closed
371,Shokz,Veritas 300,Wireless,Bluetooth,Dynamic,15,40000,50,105.5,0.0049,,231,True,False,True,37.7,5.0,"aptX,AAC,SBC",Micro-USB,IPX4,Navy,100,2018,1,4.8,841,Gaming,Over-Ear,Closed
372,Sennheiser,N164,Wired,3.5mm,Balanced Armature,8,40000,16,115,0.0072,1.5,23.8,False,False,False,,,,,IPX2,Gunmetal,290,2021,1,4.1,26835,Hi-Fi/Reference,In-Ear,Closed
373,Koss,Zen X,Wireless,Bluetooth,Dynamic,6,22000,64,99.4,0.0084,,276,True,False,True,37.7,Multipoint 5.3,"LHDC,AAC,SBC",USB-C,None,Brown,160,2023,2,4.4,7384,Budget/Everyday,Over-Ear,Closed
374,Audio-Technica,X 1000,Wireless,Bluetooth,Dynamic,15,20000,16,106.9,0.0053,,176,True,False,False,43.7,Multipoint 5.3,"LDAC,aptX,AAC,SBC",Micro-USB,None,Navy,180,2019,1,4.2,456,Studio/Pro,On-Ear,Closed
375,Status Audio,Studio 200,Wireless,Bluetooth,Dynamic,5,30000,64,102.3,0.0057,,226,True,False,True,20.4,5.2,"aptX Adaptive,aptX HD,AAC,SBC",USB-C,None,Indigo,120,2019,1,4.4,3864,Budget/Everyday,Over-Ear,Closed
376,Etymotic,EW491,Wired,3.5mm,Dynamic,20,20000,25,93.1,0.0015,1.5,5.7,False,False,False,,,,,IPX4,Dark Green,80,2018,3,4.1,25,Bass/Casual,In-Ear,Closed
377,Empire Ears,DCA 250X,Wired,3.5mm,Dynamic,12,35000,60,103.4,0.0072,1.2,277,False,False,True,,,,,None,Silver,260,2018,3,3.6,2174,Music/Casual,Over-Ear,Closed
378,Monolith,HE 150 Open,Wired,3.5mm,Dynamic,4,25000,100,92.9,0.0034,1.5,409,True,False,False,,,,,None,Brown,240,2020,1,4.4,193,Sport/Fitness,Over-Ear,Closed
379,Monoprice,Clear 100,Wireless,Bluetooth,Hybrid,20,24000,18,108.4,0.0042,,7.3,True,True,False,53.9,5.1,"aptX HD,aptX,AAC,SBC",Lightning,IPX2,Brown,310,2023,2,4,2417,Work/Office,In-Ear,Closed
380,JBL,Rush 200,Wireless,Bluetooth,Planar,18,40000,18,104.1,0.0073,,10.8,True,True,True,35.5,5.0,"AAC,SBC",Lightning,IP57,Gunmetal,240,2021,1,4,2311,Sport/Fitness,In-Ear,Closed
381,Beyerdynamic,SE794,Wired,3.5mm,Balanced Armature,5,40000,32,94.8,0.0037,1,11.4,False,False,False,,,,,None,Graphite,140,2021,2,4.5,297,Budget/Everyday,In-Ear,Closed
382,Focal,SR 500,Wired,3.5mm,Electrostatic,15,25000,300,96.6,0.013,2,331,False,False,False,,,,,None,Gunmetal,740,2022,3,4.9,2676,Music/Audiophile,Over-Ear,Closed
383,Tribit,Max 500,Wireless,Bluetooth,Dynamic,6,40000,16,106.8,0.0187,,338,True,False,False,34.9,5.2,SBC,USB-C,None,Silver,130,2019,2,4.2,4004,Budget/Everyday,Over-Ear,Closed
384,Monoprice,Studio 5,Wireless,Bluetooth,Planar,8,20000,24,106.2,0.0192,,323,True,True,True,44.7,5.2,"aptX,AAC,SBC",USB-C,IP54,Graphite,210,2020,1,3.9,1089,Budget/Everyday,Over-Ear,Open
385,UE,EW198,Wired,3.5mm,Balanced Armature,10,22000,18,99.8,0.0048,1.2,17.3,True,False,False,,,,,IPX4,Brown,380,2018,2,4.1,1156,Gaming,In-Ear,Closed
386,Meze,E164,Wired,3.5mm,Dynamic,5,40000,25,104.6,0.001,1.2,26.7,False,False,False,,,,,IPX4,Brown,180,2018,2,4.3,75,Sport/Fitness,In-Ear,Closed
387,Microsoft,Nano 4,Wireless,Bluetooth,Dynamic,18,30000,47,98.9,0.0171,,277,True,True,True,33.3,5.1,"LDAC,AAC,SBC",USB-C,IP55,Dark Green,230,2024,1,4.2,2058,Music/Casual,Over-Ear,Open
388,Focal,Dots 5,Wireless,Bluetooth,Hybrid,10,40000,16,106,0.012,,11.4,True,False,False,46.7,5.0,SBC,USB-C,None,Dark Green,130,2018,2,4.6,18548,Studio/Pro,In-Ear,Closed
389,Focal,IE886,Wired,3.5mm,Dynamic,14,40000,8,116.3,0.008,1.5,11.5,False,False,False,,,,,IPX2,Pearl White,220,2020,2,4.5,685,Commuting/Travel,In-Ear,Closed
390,EarFun,Prestige Pro,Wireless,Bluetooth,Dynamic,15,20000,64,107,0.0103,,369,True,False,True,68.7,5.2,"LDAC,aptX,AAC,SBC",Lightning,IP54,Champagne,280,2021,1,4.3,1566,Hi-Fi/Reference,Over-Ear,Open
391,Tribit,Core 5,Wireless,Bluetooth,Hybrid,15,20000,16,106.9,0.0033,,9.9,True,False,True,24.2,5.0,SBC,USB-C,IP54,Black,90,2021,1,4.4,888,Music/Casual,In-Ear,Closed
392,Fiio,ER967,Wired,3.5mm,Balanced Armature,14,50000,12,93,0.0035,1,7.1,False,False,False,,,,,None,Midnight Blue,260,2023,2,3.7,3011,Music/Audiophile,In-Ear,Closed
393,Nothing,Mini Max,Wireless,Bluetooth,Dynamic,5,25000,32,100.8,0.0134,,298,True,False,True,18.3,5.0,"LDAC,AAC,SBC",Micro-USB,IPX7,White,270,2019,2,4,1860,Gaming,Over-Ear,Open
394,Nothing,Studio 500,Wireless,Bluetooth,Dynamic,10,30000,50,105.3,0.0104,,370,True,False,False,32.2,5.2,"LDAC,aptX,AAC,SBC",USB-C,IPX4,Cream,140,2019,1,4.6,2244,Budget/Everyday,Over-Ear,Closed
395,Technics,Vibe 700,Wireless,Bluetooth,Electrostatic,18,22000,16,107.4,0.0073,,274,True,False,False,37.8,5.3,"aptX Adaptive,aptX HD,AAC,SBC",USB-C,IPX8,Silver,180,2022,2,3.9,5513,Gaming,Over-Ear,Closed
396,EarFun,Tune 300,Wireless,Bluetooth,Electrostatic,8,35000,16,99.4,0.0132,,295,True,True,True,18.5,5.2,"LDAC,aptX,AAC,SBC",USB-C,IPX7,Brown,420,2018,2,4.6,4137,Music/Casual,Over-Ear,Closed
397,Meze,MDR 150,Wired,3.5mm,Dynamic,18,20000,32,98.4,0.014,1.5,104,False,False,False,,,,,None,Forest Green,40,2016,2,4.5,1077,Work/Office,On-Ear,Closed
398,Apple,Series Max,Wireless,Bluetooth,Dynamic,18,24000,32,101,0.0123,,8,True,True,False,14.4,5.0,"aptX HD,aptX,AAC,SBC",Micro-USB,IPX4,Forest Green,270,2018,2,4.4,26849,Hi-Fi/Reference,In-Ear,Closed
399,EarFun,Series 100,Wireless,Bluetooth,Planar,18,40000,22,108.4,0.0141,,8.7,True,False,True,39.8,5.0,SBC,USB-C,None,Forest Green,110,2018,1,3.9,5743,Budget/Everyday,In-Ear,Closed
400,Etymotic,N499,Wired,3.5mm,Planar,20,40000,18,92.6,0.0079,1.5,6.9,False,False,False,,,,,IPX2,Brown,490,2024,1,3.9,388,Sport/Fitness,In-Ear,Closed
401,Meze,EW735,Wired,3.5mm,Dynamic,8,30000,64,117.3,0.0088,1.5,9.7,False,False,False,,,,,None,Space Gray,60,2022,1,4.2,1103,Music/Audiophile,In-Ear,Closed
402,Truthear,ATH 250,Wired,3.5mm,Dynamic,4,40000,47,96.4,0.0048,2.5,376,False,False,False,,,,,None,Forest Green,90,2024,2,4,57,Music/Casual,Over-Ear,Closed
403,Plantronics,Go 700,Wireless,Bluetooth,Dynamic,4,20000,48,97.7,0.0041,,218,True,False,True,26,4.2,"AAC,SBC",USB-C,IPX2,Midnight Blue,180,2019,2,4.2,1362,Work/Office,Over-Ear,Open
404,Logitech,Tune 5,Wireless,Bluetooth,Electrostatic,10,40000,24,96.4,0.0146,,230,True,False,True,16.9,5.0,"LDAC,AAC,SBC",Micro-USB,IPX7,Graphite,260,2020,2,4.5,1553,Music/Audiophile,Over-Ear,Closed
405,Sony,Flow 900,Wireless,Bluetooth,Dynamic,18,22000,18,109.1,0.0123,,4.8,True,False,False,21.9,5.0,SBC,USB-C,IPX7,Indigo,120,2024,1,4.5,1730,Gaming,In-Ear,Closed
406,Beyerdynamic,Rhythm 5,Wireless,Bluetooth,Dynamic,6,25000,47,94.4,0.0128,,325,True,True,True,41.3,5.3,"aptX,AAC,SBC",USB-C,IP54,Navy,270,2021,1,4,147,Hi-Fi/Reference,Over-Ear,Closed
407,OnePlus,Pods 4,Wireless,Bluetooth,Dynamic,10,40000,32,106.8,0.0125,,6.8,True,False,True,20,5.3,SBC,Micro-USB,IPX4,Gunmetal,120,2018,1,4.5,1666,Sport/Fitness,In-Ear,Closed
408,Cleer,Ultra 200,Wireless,Bluetooth,Electrostatic,4,30000,32,103.2,0.003,,245,True,True,True,32.7,5.3,"aptX HD,aptX,AAC,SBC",USB-C,IP55,Sand,230,2020,1,3.8,401,Work/Office,Over-Ear,Closed
409,Amazfit,X X,Wireless,Bluetooth,Dynamic,12,25000,32,103.1,0.0098,,178,True,False,False,69.8,5.0,"aptX,AAC,SBC",USB-C,IPX7,Sand,80,2023,1,4.2,742,Sport/Fitness,On-Ear,Open
410,Sony,HE 990 Studio,Wired,3.5mm,Dynamic,20,22000,120,104.2,0.0157,1.5,115,True,False,False,,,,,None,Pearl White,170,2023,2,4.2,1813,Sport/Fitness,On-Ear,Closed
411,64 Audio,T392,Wired,3.5mm,Balanced Armature,14,22000,64,108.8,0.0052,1.5,15.6,False,False,False,,,,,IPX2,White,340,2016,1,4.4,576,Sport/Fitness,In-Ear,Closed
412,Samsung,Elite,Wireless,Bluetooth,Dynamic,6,22000,50,103,0.0056,,313,True,False,False,22.7,5.0,"LDAC,AAC,SBC",USB-C,IP57,Graphite,240,2023,1,4,9216,Studio/Pro,Over-Ear,Closed
413,Shokz,Signature 1000,Wireless,Bluetooth,Dynamic,18,40000,48,95.7,0.0055,,204,True,False,True,39.9,5.0,"AAC,SBC",Lightning,IPX4,Gunmetal,110,2019,1,4.5,2172,Work/Office,Over-Ear,Closed
414,Letshuoer,HE693,Wired,3.5mm,Hybrid,14,40000,16,90.8,0.0051,1.5,14,False,False,False,,,,,None,Pearl White,180,2020,1,4.7,1212,Hi-Fi/Reference,In-Ear,Closed
415,Turtle Beach,True 300,Wireless,Bluetooth,Hybrid,15,22000,22,107.9,0.0098,,7.7,True,True,False,20.7,Multipoint 5.3,SBC,USB-C,IP57,Silver,260,2024,1,4.4,6996,Sport/Fitness,In-Ear,Closed
416,Simgot,T275,Wired,3.5mm,Balanced Armature,15,40000,12,91.3,0.0087,1,10.3,False,False,False,,,,,IPX2,Matte Black,420,2017,2,4.5,1866,Music/Casual,In-Ear,Closed
417,Grado,DT 700 Open,Wired,3.5mm,Dynamic,18,22000,120,100.6,0.0054,1.2,112,True,False,False,,,,,None,Silver,50,2023,2,4.4,1062,Budget/Everyday,On-Ear,Closed
418,Philips,HE 1000X,Wired,3.5mm,Dynamic,4,25000,32,104.6,0.0136,2,471,False,False,False,,,,,None,Indigo,180,2024,1,4.4,976,Sport/Fitness,Over-Ear,Closed
419,ZMF,N931,Wired,3.5mm,Dynamic,14,40000,12,105.9,0.0021,1.5,11.9,False,False,False,,,,,None,Pearl White,100,2017,2,4.3,532,Work/Office,In-Ear,Closed
420,Beats,Ultra 200,Wireless,Bluetooth,Dynamic,20,40000,16,102.2,0.0189,,377,True,False,False,65.4,5.3,"LHDC,AAC,SBC",USB-C,IPX7,White,90,2023,1,4.3,578,Gaming,Over-Ear,Open
421,AKG,IE515,Wired,3.5mm,Dynamic,5,40000,12,114.9,0.0053,1,11.2,False,False,False,,,,,None,Red,60,2016,1,4.2,1694,Studio/Pro,In-Ear,Closed
422,HIFIMAN,Zen X,Wireless,Bluetooth,Planar,15,30000,50,95.8,0.0149,,299,True,False,False,48.5,Multipoint 5.3,"aptX,AAC,SBC",Lightning,IP55,White,100,2018,2,4.4,6513,Music/Casual,Over-Ear,Closed
423,Koss,SR 50X,Wired,3.5mm,Dynamic,12,22000,32,105.7,0.0052,1.2,227,False,False,False,,,,,None,Cream,130,2018,2,3.5,315,Work/Office,Over-Ear,Closed
424,Bowers & Wilkins,Elite 5,Wireless,Bluetooth,Dynamic,12,35000,32,106.2,0.0072,,361,True,True,False,30.1,Multipoint 5.3,"aptX Adaptive,aptX HD,AAC,SBC",USB-C,IP55,Sand,180,2020,2,4.7,5534,Music/Audiophile,Over-Ear,Closed
425,Beyerdynamic,X 700,Wireless,Bluetooth,Dynamic,18,20000,16,101,0.0036,,250,True,False,True,50.7,5.0,SBC,USB-C,IP55,Dark Green,190,2021,1,3.8,563,Commuting/Travel,Over-Ear,Open
426,Sennheiser,MDR 150 Studio,Wired,3.5mm,Planar,8,22000,400,103.7,0.0142,3,464,False,False,False,,,,,None,Indigo,690,2021,2,4.5,95,Music/Casual,Over-Ear,Open
427,AKG,ER576,Wired,3.5mm,Dynamic,14,40000,120,97.3,0.0096,1.2,22.1,False,False,False,,,,,IPX2,Cream,230,2019,1,4,1643,Bass/Casual,In-Ear,Closed
428,Apple,Flow 700,Wireless,Bluetooth,Hybrid,18,24000,18,105.3,0.0032,,4.1,True,True,True,34.4,5.3,"aptX,AAC,SBC",USB-C,IPX4,Matte Black,270,2018,1,4.4,1155,Work/Office,In-Ear,Closed
