product_name,brand,model,color,noise_cancellation,battery_hrs,bt_version,charging_port,water_rating,price_usd,release_year,warranty_yrs,avg_rating,review_count,primary_use,price_segment,rating_category,battery_category,warranty_category
OnePlus Buds Z2,OnePlus,Buds Z2,Forest Green,No,32.6,5.0,USB-C,Not Rated,100,2019,1,4.6,2265,Bass/Casual,Mid-Range,Excellent,Medium,Standard
Shokz OpenFit,Shokz,OpenFit,Space Gray,No,22,4.2,Micro-USB,IP54,120,2024,1,4.2,1591,Gaming,Mid-Range,Good,Medium,Standard
Noise Buds VS104,Noise,Buds VS104,Cream,Yes,21.7,5.2,USB-C,IP54,220,2018,1,4.9,10441,Studio/Pro,Mid-Range,Excellent,Medium,Standard
Nothing Ear (a),Nothing,Ear (a),Forest Green,Yes,26.8,5.2,Micro-USB,Not Rated,290,2019,2,4.6,977,Commuting/Travel,Premium,Excellent,Medium,Extended
JBL Live Beam 3,JBL,Live Beam 3,Black,Yes,56.3,5.2,USB-C,Not Rated,200,2022,1,4.3,5544,Commuting/Travel,Mid-Range,Good,High,Standard
Xiaomi Buds 5 Pro,Xiaomi,Buds 5 Pro,White,Yes,29.5,5.2,USB-C,IPX7,210,2023,2,4.2,2142,Work/Office,Mid-Range,Good,Medium,Extended
Beats Fit Pro,Beats,Fit Pro,Dark Green,Yes,31.7,Multipoint 5.3,Lightning,Not Rated,230,2022,2,5,22758,Hi-Fi/Reference,Mid-Range,Excellent,Medium,Extended
Skullcandy Dime 3,Skullcandy,Dime 3,Indigo,No,40,Multipoint 5.3,USB-C,IP57,150,2018,2,4.6,8389,Studio/Pro,Mid-Range,Excellent,High,Extended
Noise Combat X,Noise,Combat X,Cosmic Black,No,49,5.2,Micro-USB,Not Rated,130,2019,1,4,257,Commuting/Travel,Mid-Range,Good,High,Standard
Xiaomi Buds 4 Pro,Xiaomi,Buds 4 Pro,Cosmic Black,Yes,21,5.2,USB-C,IP54,430,2022,1,4.6,580,Bass/Casual,Premium,Excellent,Medium,Standard
Redmi Buds 5 Pro,Redmi,Buds 5 Pro,Rose Gold,No,40.2,5.0,USB-C,Not Rated,140,2018,2,3.7,2081,Budget/Everyday,Mid-Range,Average,High,Extended
Redmi Buds 4,Redmi,Buds 4,Champagne,No,40.9,5.2,USB-C,IPX4,270,2022,1,4.6,4101,Commuting/Travel,Premium,Excellent,High,Standard
Sony LinkBuds,Sony,LinkBuds,Silver,Yes,42.3,5.2,USB-C,Not Rated,140,2022,1,4.4,5353,Music/Casual,Mid-Range,Good,High,Standard
Logitech Zone True Wireless,Logitech,Zone True Wireless,Rose Gold,Yes,57.3,5.0,USB-C,IPX7,180,2023,1,4.4,8705,Studio/Pro,Mid-Range,Good,High,Standard
Jabra Elite 5,Jabra,Elite 5,Carbon,No,19.2,5.3,USB-C,Not Rated,220,2021,1,4.2,4784,Budget/Everyday,Mid-Range,Good,Low,Standard
Shokz OpenFit Air,Shokz,OpenFit Air,Dark Green,No,17.5,5.3,USB-C,Not Rated,230,2020,1,4.4,788,Budget/Everyday,Mid-Range,Good,Low,Standard
Redmi Buds 5,Redmi,Buds 5,Sand,Yes,37.5,5.2,USB-C,IPX7,160,2024,2,4.6,4863,Sport/Fitness,Mid-Range,Excellent,Medium,Extended
Skullcandy Dime 3,Skullcandy,Dime 3,Space Gray,No,37,5.1,USB-C,Not Rated,240,2019,1,3.9,255,Work/Office,Mid-Range,Average,Medium,Standard
Xiaomi Buds 5 Pro,Xiaomi,Buds 5 Pro,Space Gray,Yes,48,5.2,USB-C,IPX8,200,2019,1,3.7,577,Studio/Pro,Mid-Range,Average,High,Standard
Noise Buds VS102,Noise,Buds VS102,Pearl White,No,24.6,5.3,Micro-USB,Not Rated,160,2020,1,4.5,2441,Commuting/Travel,Mid-Range,Excellent,Medium,Standard
boAt Airdopes 141,boAt,Airdopes 141,Black,Yes,17.6,4.2,USB-C,Not Rated,190,2019,2,4,2811,Music/Casual,Mid-Range,Good,Low,Extended
Jabra Elite 5,Jabra,Elite 5,Rose Gold,No,49.8,5.0,USB-C,IPX4,180,2020,2,4.4,4951,Work/Office,Mid-Range,Good,High,Extended
Jabra Elite 8 Active,Jabra,Elite 8 Active,Matte Black,No,27.6,4.2,Lightning,IPX8,110,2020,2,3.9,2147,Sport/Fitness,Mid-Range,Average,Medium,Extended
Anker Soundcore Liberty 4 NC,Anker Soundcore,Liberty 4 NC,Red,No,30.9,5.0,Micro-USB,IP54,160,2021,1,4.2,2551,Commuting/Travel,Mid-Range,Good,Medium,Standard
CMF Buds,CMF,Buds,Cosmic Black,Yes,11,5.3,USB-C,IPX4,280,2024,1,4.3,1374,Work/Office,Premium,Good,Low,Standard
Philips TAT3508,Philips,TAT3508,Brown,Yes,24.7,4.2,USB-C,IPX4,340,2020,2,4,1034,Music/Audiophile,Premium,Good,Medium,Extended
Logitech G Fits,Logitech,G Fits,Cosmic Black,No,17.5,5.3,Micro-USB,IPX2,100,2018,2,4.4,788,Studio/Pro,Mid-Range,Good,Low,Extended
Boult Curve Max,Boult,Curve Max,White,Yes,40.6,5.0,USB-C,IPX2,400,2019,1,4.1,6074,Work/Office,Premium,Good,High,Standard
Logitech Zone True Wireless,Logitech,Zone True Wireless,Silver,Yes,26.2,5.2,USB-C,IP57,190,2020,1,4.6,501,Music/Audiophile,Mid-Range,Excellent,Medium,Standard
boAt Airdopes 280 ANC,boAt,Airdopes 280 ANC,Gunmetal,Yes,34.3,Multipoint 5.3,USB-C,IPX8,350,2022,2,4.9,2333,Work/Office,Premium,Excellent,Medium,Extended
Philips TAT2206,Philips,TAT2206,Indigo,Yes,10.5,Multipoint 5.3,USB-C,IP54,210,2020,1,4.5,1538,Sport/Fitness,Mid-Range,Excellent,Low,Standard
Nothing Ear 2,Nothing,Ear 2,Silver,No,31.1,5.0,USB-C,IPX4,150,2022,1,4.3,6563,Budget/Everyday,Mid-Range,Good,Medium,Standard
Skullcandy Rail,Skullcandy,Rail,Carbon,No,18.2,5.0,Micro-USB,IPX7,120,2020,2,3.8,67,Bass/Casual,Mid-Range,Average,Low,Extended
Beats Fit Pro,Beats,Fit Pro,Forest Green,Yes,28.8,5.3,USB-C,Not Rated,160,2022,1,3.8,898,Music/Audiophile,Mid-Range,Average,Medium,Standard
boAt Airdopes 141,boAt,Airdopes 141,Carbon,No,13.4,5.2,Micro-USB,Not Rated,90,2019,2,4.6,2756,Gaming,Budget,Excellent,Low,Extended
Samsung Galaxy Buds2 Pro,Samsung,Galaxy Buds2 Pro,Cosmic Black,No,21.8,5.3,Lightning,IP54,90,2021,2,3.9,6155,Budget/Everyday,Budget,Average,Medium,Extended
Samsung Galaxy Buds3,Samsung,Galaxy Buds3,Titanium,Yes,43.8,5.0,Lightning,IPX7,220,2023,1,3.9,1034,Work/Office,Mid-Range,Average,High,Standard
Apple AirPods 4,Apple,AirPods 4,Midnight Blue,No,27.5,5.2,USB-C,IPX7,150,2018,2,4.2,8925,Sport/Fitness,Mid-Range,Good,Medium,Extended
Redmi Buds 5 Pro,Redmi,Buds 5 Pro,Carbon,No,39.8,5.1,USB-C,IP54,110,2020,2,4.3,722,Music/Casual,Mid-Range,Good,Medium,Extended
Philips TAT1108,Philips,TAT1108,Cream,No,29,5.3,Micro-USB,IPX4,180,2019,1,4.8,750,Music/Audiophile,Mid-Range,Excellent,Medium,Standard
boAt Airdopes 170,boAt,Airdopes 170,Silver,Yes,22.4,5.1,USB-C,IPX4,380,2022,1,4.1,2265,Music/Casual,Premium,Good,Medium,Standard
Sony WF-XB700,Sony,WF-XB700,Brown,Yes,28.2,5.0,USB-C,IPX2,240,2018,1,4.4,860,Budget/Everyday,Mid-Range,Good,Medium,Standard
pTron Bassbuds Tango,pTron,Bassbuds Tango,Silver,No,21.9,5.0,USB-C,IPX7,70,2021,2,4.5,21151,Music/Audiophile,Budget,Excellent,Medium,Extended
Huawei FreeBuds 5i,Huawei,FreeBuds 5i,Rose Gold,No,22.9,Multipoint 5.3,USB-C,IPX8,150,2018,1,3.8,1224,Bass/Casual,Mid-Range,Average,Medium,Standard
Oppo Enco Air 3,Oppo,Enco Air 3,Indigo,Yes,18.7,5.0,USB-C,Not Rated,220,2022,2,4.7,1779,Music/Casual,Mid-Range,Excellent,Low,Extended
Beats Fit Pro,Beats,Fit Pro,Pearl White,Yes,23.5,5.0,Lightning,Not Rated,330,2020,1,4.3,2410,Work/Office,Premium,Good,Medium,Standard
pTron Bassbuds Duo,pTron,Bassbuds Duo,Indigo,No,22.5,5.2,Lightning,Not Rated,110,2018,1,4.8,371,Commuting/Travel,Mid-Range,Excellent,Medium,Standard
Boult Curve Max,Boult,Curve Max,Indigo,Yes,28.7,5.2,Lightning,IPX4,190,2024,1,3.6,360,Music/Audiophile,Mid-Range,Average,Medium,Standard
pTron Bassbuds Duo,pTron,Bassbuds Duo,Navy,Yes,19.8,5.0,Micro-USB,IP55,230,2022,1,4.2,4058,Hi-Fi/Reference,Mid-Range,Good,Low,Standard
Logitech Zone True Wireless,Logitech,Zone True Wireless,Pearl White,No,42.8,4.2,USB-C,Not Rated,170,2024,2,4.3,3688,Gaming,Mid-Range,Good,High,Extended
Noise Buds VS201,Noise,Buds VS201,Pearl White,No,42.8,5.3,USB-C,IP55,220,2022,1,4.2,3898,Budget/Everyday,Mid-Range,Good,High,Standard
Skullcandy Sesh Evo,Skullcandy,Sesh Evo,Brown,No,40.4,5.3,USB-C,IPX4,140,2020,2,4.5,481,Gaming,Mid-Range,Excellent,High,Extended
Philips TAT3508,Philips,TAT3508,Titanium,Yes,36.4,5.3,Lightning,IPX4,290,2024,2,4.4,445,Music/Audiophile,Premium,Good,Medium,Extended
Huawei FreeBuds 4i,Huawei,FreeBuds 4i,White,No,30.4,5.3,USB-C,IPX4,70,2021,1,3.9,1358,Work/Office,Budget,Average,Medium,Standard
Noise Combat Z,Noise,Combat Z,Cosmic Black,No,20.5,5.2,Micro-USB,IPX4,80,2024,1,4.5,3207,Gaming,Budget,Excellent,Medium,Standard
boAt Airdopes 280 ANC,boAt,Airdopes 280 ANC,Dark Green,Yes,22.5,5.0,USB-C,Not Rated,130,2021,1,4.1,1760,Music/Audiophile,Mid-Range,Good,Medium,Standard
Sony WF-XB700,Sony,WF-XB700,Silver,No,24.5,5.0,USB-C,Not Rated,160,2021,2,3.8,1786,Commuting/Travel,Mid-Range,Average,Medium,Extended
boAt Airdopes Flex,boAt,Airdopes Flex,Navy,No,7.9,5.0,Lightning,Not Rated,270,2018,2,4,22212,Work/Office,Premium,Good,Low,Extended
JBL Tour Pro 2,JBL,Tour Pro 2,Sand,No,44.8,5.3,USB-C,Not Rated,130,2019,1,4.5,681,Hi-Fi/Reference,Mid-Range,Excellent,High,Standard
Realme Buds Air 6,Realme,Buds Air 6,Indigo,No,14.6,5.1,USB-C,IP55,170,2024,2,3.9,1440,Commuting/Travel,Mid-Range,Average,Low,Extended
Xiaomi Redmi Buds Essential,Xiaomi,Redmi Buds Essential,Rose Gold,No,8.8,5.3,USB-C,Not Rated,240,2021,1,3.8,3733,Budget/Everyday,Mid-Range,Average,Low,Standard
Sony WF-C700N,Sony,WF-C700N,Graphite,Yes,19.3,Multipoint 5.3,USB-C,IP54,140,2024,1,4.4,803,Gaming,Mid-Range,Good,Low,Standard
Skullcandy Rail,Skullcandy,Rail,Brown,Yes,36.4,5.0,USB-C,IPX7,170,2021,1,4.4,2242,Work/Office,Mid-Range,Good,Medium,Standard
Oppo Enco Buds2,Oppo,Enco Buds2,Pearl White,No,25.6,5.3,USB-C,Not Rated,140,2023,2,4.6,1295,Gaming,Mid-Range,Excellent,Medium,Extended
boAt Airdopes 161,boAt,Airdopes 161,Black,Yes,22.6,5.2,USB-C,IPX2,350,2023,1,4,598,Sport/Fitness,Premium,Good,Medium,Standard
Beats Studio Buds Plus,Beats,Studio Buds Plus,White,No,31.5,5.0,Micro-USB,IP55,110,2018,2,4,6520,Budget/Everyday,Mid-Range,Good,Medium,Extended
JBL Endurance Peak 3,JBL,Endurance Peak 3,Midnight Blue,Yes,35.1,5.3,USB-C,IP55,170,2019,2,4.7,310,Sport/Fitness,Mid-Range,Excellent,Medium,Extended
Logitech Zone True Wireless,Logitech,Zone True Wireless,Carbon,Yes,49.1,5.3,Micro-USB,IPX7,230,2022,1,4.3,7537,Studio/Pro,Mid-Range,Good,High,Standard
Sennheiser Momentum True Wireless 3,Sennheiser,Momentum True Wireless 3,Forest Green,No,40.1,5.1,USB-C,IP54,110,2019,2,4.8,1418,Hi-Fi/Reference,Mid-Range,Excellent,High,Extended
Skullcandy Dime 3,Skullcandy,Dime 3,Dark Green,No,36.1,5.1,USB-C,IPX7,120,2021,2,4.8,2485,Sport/Fitness,Mid-Range,Excellent,Medium,Extended
Xiaomi Redmi Buds Essential,Xiaomi,Redmi Buds Essential,Gunmetal,No,51.8,5.3,USB-C,IPX8,150,2023,1,4.8,383,Commuting/Travel,Mid-Range,Excellent,High,Standard
Samsung Galaxy Buds FE,Samsung,Galaxy Buds FE,Navy,Yes,22.4,Multipoint 5.3,Micro-USB,IPX4,200,2020,1,4.6,421,Music/Audiophile,Mid-Range,Excellent,Medium,Standard
OnePlus Buds Z2,OnePlus,Buds Z2,Matte Black,No,15.1,5.3,Micro-USB,IPX2,170,2022,1,4.4,32,Budget/Everyday,Mid-Range,Good,Low,Standard
Philips TAT3508,Philips,TAT3508,White,No,34.6,5.0,Micro-USB,IP54,180,2021,1,4.1,3353,Bass/Casual,Mid-Range,Good,Medium,Standard
Oppo Enco Air 3,Oppo,Enco Air 3,Champagne,No,17.5,5.2,USB-C,Not Rated,110,2018,2,4.3,178,Commuting/Travel,Mid-Range,Good,Low,Extended
Xiaomi Buds 5 Pro,Xiaomi,Buds 5 Pro,Black,No,33.5,5.3,USB-C,IP57,160,2023,2,4.6,571,Music/Audiophile,Mid-Range,Excellent,Medium,Extended
JBL Tune Flex,JBL,Tune Flex,Pearl White,No,38.6,5.3,USB-C,IP55,170,2022,1,4.1,988,Commuting/Travel,Mid-Range,Good,Medium,Standard
Philips TAT3508,Philips,TAT3508,Gunmetal,No,31.5,5.2,Micro-USB,IPX4,70,2024,1,4.1,6191,Music/Casual,Budget,Good,Medium,Standard
pTron Bassbuds Jade,pTron,Bassbuds Jade,Titanium,No,29.1,5.0,USB-C,IP55,160,2024,2,4.6,1145,Music/Casual,Mid-Range,Excellent,Medium,Extended
Sennheiser CX True Wireless,Sennheiser,CX True Wireless,Cream,Yes,19.3,Multipoint 5.3,Micro-USB,Not Rated,190,2018,2,4.4,8128,Hi-Fi/Reference,Mid-Range,Good,Low,Extended
Shokz OpenDots One,Shokz,OpenDots One,Forest Green,No,34.6,5.2,USB-C,IPX7,180,2022,2,3.9,2015,Budget/Everyday,Mid-Range,Average,Medium,Extended
CMF Buds Pro,CMF,Buds Pro,Black,No,26.9,5.0,USB-C,IP54,80,2022,1,4.9,504,Music/Audiophile,Budget,Excellent,Medium,Standard
Skullcandy Dime 3,Skullcandy,Dime 3,Sand,No,39.6,5.2,USB-C,IPX7,120,2019,1,4.4,760,Sport/Fitness,Mid-Range,Good,Medium,Standard
JBL Wave Beam,JBL,Wave Beam,Cream,Yes,30.6,5.3,USB-C,IPX8,230,2024,2,4.2,2226,Budget/Everyday,Mid-Range,Good,Medium,Extended
Jabra Elite 5,Jabra,Elite 5,Graphite,No,16.4,5.0,USB-C,IPX4,90,2024,1,4.4,1524,Bass/Casual,Budget,Good,Low,Standard
Sony WF-XB700,Sony,WF-XB700,Silver,No,57.2,5.0,USB-C,IPX4,120,2019,2,4.2,243,Work/Office,Mid-Range,Good,High,Extended
Samsung Galaxy Buds FE,Samsung,Galaxy Buds FE,Midnight Blue,Yes,15.2,5.3,USB-C,IPX7,280,2019,1,4.2,2442,Music/Audiophile,Premium,Good,Low,Standard
OnePlus Buds Pro 2,OnePlus,Buds Pro 2,Pearl White,No,32.2,5.3,Micro-USB,IP55,290,2021,1,4.8,6045,Hi-Fi/Reference,Premium,Excellent,Medium,Standard
boAt Airdopes 280 ANC,boAt,Airdopes 280 ANC,Space Gray,Yes,55.6,5.2,USB-C,Not Rated,210,2019,1,4.9,568,Music/Audiophile,Mid-Range,Excellent,High,Standard
Nothing Ear (a),Nothing,Ear (a),Brown,Yes,52.3,5.3,USB-C,Not Rated,300,2020,1,4,5409,Work/Office,Premium,Good,High,Standard
Sennheiser Momentum True Wireless 3,Sennheiser,Momentum True Wireless 3,Dark Green,Yes,27.9,4.2,Micro-USB,IP57,190,2024,1,4.5,9533,Gaming,Mid-Range,Excellent,Medium,Standard
Logitech G Fits,Logitech,G Fits,Pearl White,No,16.3,5.2,USB-C,IPX8,180,2021,2,4.3,2583,Music/Casual,Mid-Range,Good,Low,Extended
Samsung Galaxy Buds Live,Samsung,Galaxy Buds Live,Gunmetal,No,36.3,5.2,USB-C,IPX2,70,2023,1,4.2,2446,Music/Audiophile,Budget,Good,Medium,Standard
Logitech G Fits,Logitech,G Fits,Sand,Yes,34.4,5.3,USB-C,Not Rated,420,2021,1,4.5,177,Studio/Pro,Premium,Excellent,Medium,Standard
Logitech Zone True Wireless,Logitech,Zone True Wireless,Sand,No,16,5.3,USB-C,Not Rated,80,2018,1,3.9,2877,Gaming,Budget,Average,Low,Standard
Beats Studio Buds,Beats,Studio Buds,Space Gray,Yes,43.3,5.2,USB-C,IP55,440,2023,1,4.4,1641,Bass/Casual,Premium,Good,High,Standard
Skullcandy Dime,Skullcandy,Dime,Graphite,No,23,5.3,USB-C,Not Rated,90,2024,1,3.9,11746,Gaming,Budget,Average,Medium,Standard
Xiaomi Redmi Buds Essential,Xiaomi,Redmi Buds Essential,Red,No,33.3,5.0,USB-C,IPX4,150,2021,2,4.1,1148,Studio/Pro,Mid-Range,Good,Medium,Extended
Shokz OpenFit,Shokz,OpenFit,Graphite,Yes,36.2,5.0,Micro-USB,IP55,120,2023,2,4.6,3318,Music/Casual,Mid-Range,Excellent,Medium,Extended
Apple AirPods 2,Apple,AirPods 2,Navy,No,15.8,5.2,Micro-USB,Not Rated,80,2020,1,4.7,1630,Commuting/Travel,Budget,Excellent,Low,Standard
Jabra Elite 5,Jabra,Elite 5,Brown,Yes,33.8,Multipoint 5.3,USB-C,Not Rated,330,2020,2,3.8,4378,Music/Audiophile,Premium,Average,Medium,Extended
Redmi Buds 6,Redmi,Buds 6,Cream,Yes,28.5,4.2,USB-C,IPX4,200,2020,2,3.9,1184,Studio/Pro,Mid-Range,Average,Medium,Extended
Xiaomi Redmi Buds Essential,Xiaomi,Redmi Buds Essential,White,Yes,18.1,5.2,USB-C,IP57,210,2024,1,4.6,1225,Hi-Fi/Reference,Mid-Range,Excellent,Low,Standard
boAt Airdopes 170,boAt,Airdopes 170,Space Gray,Yes,50.3,5.0,Lightning,IPX4,100,2024,2,4.7,633,Budget/Everyday,Mid-Range,Excellent,High,Extended
Edifier TWS1 Pro,Edifier,TWS1 Pro,Midnight Blue,Yes,34.7,5.2,Lightning,IP54,240,2021,2,4.4,3785,Studio/Pro,Mid-Range,Good,Medium,Extended
Anker Soundcore Life P3,Anker Soundcore,Life P3,Gunmetal,Yes,49.7,5.0,Micro-USB,Not Rated,200,2018,1,4.7,3390,Gaming,Mid-Range,Excellent,High,Standard
Nothing Ear 1,Nothing,Ear 1,Sand,No,45.2,Multipoint 5.3,Micro-USB,IPX4,260,2023,2,4.6,1201,Studio/Pro,Premium,Excellent,High,Extended
Xiaomi Buds 4 Pro,Xiaomi,Buds 4 Pro,Indigo,No,34.7,5.2,Lightning,IPX2,200,2020,2,4.6,4323,Work/Office,Mid-Range,Excellent,Medium,Extended
boAt Nirvana Zenith,boAt,Nirvana Zenith,Rose Gold,Yes,41.7,4.2,USB-C,IPX4,290,2019,2,4.7,337,Bass/Casual,Premium,Excellent,High,Extended
Philips TAT1108,Philips,TAT1108,Gunmetal,Yes,25.5,5.2,USB-C,IPX7,180,2020,1,4.5,2704,Studio/Pro,Mid-Range,Excellent,Medium,Standard
Philips TAT2206,Philips,TAT2206,Carbon,Yes,18.6,5.0,Lightning,IPX2,270,2018,1,4.5,1725,Gaming,Premium,Excellent,Low,Standard
CMF Buds Pro,CMF,Buds Pro,Gunmetal,No,49.2,5.2,Micro-USB,IP54,120,2018,1,4.1,13879,Commuting/Travel,Mid-Range,Good,High,Standard
Philips TAT1108,Philips,TAT1108,Silver,Yes,47.7,5.0,Micro-USB,IPX2,240,2018,1,4.4,1126,Commuting/Travel,Mid-Range,Good,High,Standard
Sony WF-1000XM4,Sony,WF-1000XM4,Champagne,No,29.7,5.1,USB-C,IP57,160,2021,1,4.3,5466,Sport/Fitness,Mid-Range,Good,Medium,Standard
Philips TAT1108,Philips,TAT1108,Brown,Yes,18.9,5.2,USB-C,IP57,310,2022,2,3.9,1716,Sport/Fitness,Premium,Average,Low,Extended
Oppo Enco X2,Oppo,Enco X2,Rose Gold,No,36.4,5.0,USB-C,IPX8,160,2023,1,3.8,2904,Music/Casual,Mid-Range,Average,Medium,Standard
Sony WF-C700N,Sony,WF-C700N,Indigo,No,19.1,5.3,USB-C,IPX8,100,2023,2,4.2,1535,Music/Casual,Mid-Range,Good,Low,Extended
Jabra Elite 3,Jabra,Elite 3,Champagne,No,24.7,5.0,Lightning,IP55,210,2021,2,4.1,996,Music/Casual,Mid-Range,Good,Medium,Extended
Boult X Mustang,Boult,X Mustang,Brown,No,36,5.2,Lightning,IP57,160,2021,2,4.4,10835,Commuting/Travel,Mid-Range,Good,Medium,Extended
Logitech Zone True Wireless,Logitech,Zone True Wireless,Midnight Blue,Yes,36.3,5.3,USB-C,IP55,260,2019,2,4,401,Music/Casual,Premium,Good,Medium,Extended
Xiaomi Buds 5 Pro,Xiaomi,Buds 5 Pro,Pearl White,No,29.4,5.2,Micro-USB,IP55,200,2019,1,4,1031,Music/Casual,Mid-Range,Good,Medium,Standard
Redmi Buds 6,Redmi,Buds 6,Pearl White,Yes,35.2,5.0,USB-C,IPX4,190,2019,1,4.7,892,Music/Casual,Mid-Range,Excellent,Medium,Standard
JBL Live Pro 2,JBL,Live Pro 2,Dark Green,Yes,24.8,5.0,Micro-USB,IPX8,130,2023,1,3.8,3157,Bass/Casual,Mid-Range,Average,Medium,Standard
boAt Airdopes 141,boAt,Airdopes 141,Black,No,53.8,5.2,Micro-USB,IPX7,170,2018,1,4.2,6214,Studio/Pro,Mid-Range,Good,High,Standard
Nothing Ear,Nothing,Ear,Black,No,34.8,5.0,USB-C,IP57,160,2022,2,4.5,16673,Music/Casual,Mid-Range,Excellent,Medium,Extended
Huawei FreeBuds Pro 2,Huawei,FreeBuds Pro 2,Matte Black,Yes,40.6,5.0,Micro-USB,Not Rated,160,2024,1,4.4,2641,Work/Office,Mid-Range,Good,High,Standard
Sennheiser Momentum True Wireless 4,Sennheiser,Momentum True Wireless 4,Rose Gold,Yes,45.9,5.1,USB-C,Not Rated,280,2019,1,3.9,3171,Budget/Everyday,Premium,Average,High,Standard
OnePlus Buds Pro 2,OnePlus,Buds Pro 2,Gunmetal,No,24.9,4.2,USB-C,IP55,240,2018,1,4.1,6589,Hi-Fi/Reference,Mid-Range,Good,Medium,Standard
Beats Studio Buds,Beats,Studio Buds,Forest Green,Yes,16.2,5.2,Micro-USB,Not Rated,310,2020,2,4.3,589,Music/Audiophile,Premium,Good,Low,Extended
Noise Air Buds Max,Noise,Air Buds Max,Red,No,32,5.2,Micro-USB,IPX2,140,2020,2,3.7,1976,Studio/Pro,Mid-Range,Average,Medium,Extended
pTron Bassbuds Duo,pTron,Bassbuds Duo,Champagne,Yes,30.9,5.3,USB-C,IPX7,140,2024,2,4.5,645,Studio/Pro,Mid-Range,Excellent,Medium,Extended
Skullcandy Dime 3,Skullcandy,Dime 3,Carbon,Yes,26,5.0,Lightning,IP55,150,2023,2,4.4,4494,Commuting/Travel,Mid-Range,Good,Medium,Extended
Xiaomi Buds 4 Pro,Xiaomi,Buds 4 Pro,Carbon,Yes,18.3,5.1,Lightning,IP57,310,2019,1,4.6,751,Music/Audiophile,Premium,Excellent,Low,Standard
boAt Nirvana Crystl,boAt,Nirvana Crystl,Space Gray,Yes,29.3,4.2,USB-C,Not Rated,360,2024,1,4.2,754,Music/Audiophile,Premium,Good,Medium,Standard
Jabra Elite 5,Jabra,Elite 5,Forest Green,No,38.6,5.3,Lightning,IP57,90,2023,2,4.7,17183,Studio/Pro,Budget,Excellent,Medium,Extended
Xiaomi Redmi Buds Essential,Xiaomi,Redmi Buds Essential,Pearl White,No,27.5,5.2,Lightning,IPX4,80,2019,2,4.6,354,Gaming,Budget,Excellent,Medium,Extended
Samsung Galaxy Buds3,Samsung,Galaxy Buds3,Rose Gold,No,52.1,5.3,USB-C,IPX2,150,2019,1,4.6,950,Music/Casual,Mid-Range,Excellent,High,Standard
Edifier X3,Edifier,X3,Red,No,38.9,5.3,USB-C,Not Rated,150,2021,2,4.1,580,Budget/Everyday,Mid-Range,Good,Medium,Extended
Sennheiser CX Plus,Sennheiser,CX Plus,Space Gray,No,11.3,5.0,USB-C,IPX7,180,2018,2,4.7,59033,Sport/Fitness,Mid-Range,Excellent,Low,Extended
Anker Soundcore Life P3,Anker Soundcore,Life P3,Graphite,No,15.9,4.2,Lightning,IP54,160,2018,1,4,3684,Studio/Pro,Mid-Range,Good,Low,Standard
Boult Z40 Pro,Boult,Z40 Pro,Brown,Yes,22.3,5.0,USB-C,IPX8,290,2021,1,4.5,4586,Hi-Fi/Reference,Premium,Excellent,Medium,Standard
Redmi Buds 4,Redmi,Buds 4,Navy,No,47.1,5.2,USB-C,IPX4,110,2021,1,3.6,3065,Sport/Fitness,Mid-Range,Average,High,Standard
Samsung Galaxy Buds3,Samsung,Galaxy Buds3,Cosmic Black,Yes,42.6,5.1,USB-C,IP55,210,2020,1,4.2,1776,Music/Casual,Mid-Range,Good,High,Standard
Noise Buds VS104,Noise,Buds VS104,Titanium,Yes,34.6,5.3,Micro-USB,IPX8,330,2021,1,4.4,297,Commuting/Travel,Premium,Good,Medium,Standard
Edifier NeoBuds Pro,Edifier,NeoBuds Pro,Graphite,Yes,24.8,5.2,USB-C,IP55,310,2022,2,4.6,586,Hi-Fi/Reference,Premium,Excellent,Medium,Extended
OnePlus Nord Buds 2R,OnePlus,Nord Buds 2R,Cosmic Black,Yes,29.6,5.2,USB-C,Not Rated,130,2021,1,3.7,389,Budget/Everyday,Mid-Range,Average,Medium,Standard
Shokz OpenDots One,Shokz,OpenDots One,Sand,Yes,18,5.2,Lightning,IPX4,280,2022,1,4.2,3330,Studio/Pro,Premium,Good,Low,Standard
Sennheiser Momentum True Wireless 4,Sennheiser,Momentum True Wireless 4,Pearl White,No,32.2,5.3,Lightning,Not Rated,70,2021,2,3.8,955,Budget/Everyday,Budget,Average,Medium,Extended
boAt Airdopes 161,boAt,Airdopes 161,Midnight Blue,No,27.6,5.0,USB-C,IP55,100,2020,1,4.8,4717,Budget/Everyday,Mid-Range,Excellent,Medium,Standard
Realme Buds Air 3,Realme,Buds Air 3,Pearl White,No,33,5.3,USB-C,Not Rated,170,2023,1,4,5724,Bass/Casual,Mid-Range,Good,Medium,Standard
Oppo Enco X2,Oppo,Enco X2,Gunmetal,No,42.9,5.0,USB-C,Not Rated,150,2019,2,4.5,1554,Music/Audiophile,Mid-Range,Excellent,High,Extended
Edifier X5 Pro,Edifier,X5 Pro,Brown,Yes,11,5.3,USB-C,Not Rated,240,2019,2,4.4,632,Hi-Fi/Reference,Mid-Range,Good,Low,Extended
Sennheiser Momentum True Wireless 4,Sennheiser,Momentum True Wireless 4,Champagne,Yes,37.2,5.2,Micro-USB,Not Rated,180,2019,2,4.4,2376,Budget/Everyday,Mid-Range,Good,Medium,Extended
