brand,model,type,connectivity,driver_type,freq_low_hz,freq_high_hz,impedance_ohm,sensitivity_db,thd_percent,weight_g,microphone,noise_cancellation,foldable,battery_hrs,bt_version,codecs,charging_port,water_rating,color,price_usd,release_year,warranty_yrs,avg_rating,review_count,primary_use,form_factor,price_segment,rating_category,battery_category,warranty_category,product_name
Boult,Curve Max,Wireless,Bluetooth,Balanced Armature,18,24000,18,107.2,0.0069,4.8,True,True,False,28.7,5.2,"LHDC,AAC,SBC",Lightning,IPX4,Indigo,190,2024,1,3.6,360,Music/Audiophile,In-Ear,Mid-Range,Average,Medium,Standard,Boult Curve Max
pTron,Bassbuds Duo,Wireless,Bluetooth,Planar,15,40000,32,101.9,0.0123,8.3,True,True,True,19.8,5.0,SBC,Micro-USB,IP55,Navy,230,2022,1,4.2,4058,Hi-Fi/Reference,In-Ear,Mid-Range,Good,Low,Standard,pTron Bassbuds Duo
Logitech,Zone True Wireless,Wireless,Bluetooth,Balanced Armature,20,20000,18,103.6,0.0095,9.1,True,False,False,42.8,4.2,"AAC,SBC",USB-C,Not Rated,Pearl White,170,2024,2,4.3,3688,Gaming,In-Ear,Mid-Range,Good,High,Extended,Logitech Zone True Wireless
Noise,Buds VS201,Wireless,Bluetooth,Dynamic,10,24000,22,101.8,0.0133,11.4,True,False,False,42.8,5.3,"LDAC,AAC,SBC",USB-C,IP55,Pearl White,220,2022,1,4.2,3898,Budget/Everyday,In-Ear,Mid-Range,Good,High,Standard,Noise Buds VS201
Skullcandy,Sesh Evo,Wireless,Bluetooth,Planar,10,22000,22,102.5,0.0085,7.2,True,False,False,40.4,5.3,"aptX HD,aptX,AAC,SBC",USB-C,IPX4,Brown,140,2020,2,4.5,481,Gaming,In-Ear,Mid-Range,Excellent,High,Extended,Skullcandy Sesh Evo
Philips,TAT3508,Wireless,Bluetooth,Hybrid,10,24000,22,105.4,0.006,9.2,True,True,False,36.4,5.3,"aptX Adaptive,aptX HD,AAC,SBC",Lightning,IPX4,Titanium,290,2024,2,4.4,445,Music/Audiophile,In-Ear,Premium,Good,Medium,Extended,Philips TAT3508
Huawei,FreeBuds 4i,Wireless,Bluetooth,Hybrid,18,20000,16,102.3,0.0097,4.0,True,False,True,30.4,5.3,"LHDC,AAC,SBC",USB-C,IPX4,White,70,2021,1,3.9,1358,Work/Office,In-Ear,Budget,Average,Medium,Standard,Huawei FreeBuds 4i
Noise,Combat Z,Wireless,Bluetooth,Dynamic,15,22000,18,104.9,0.0121,7.6,True,False,False,20.5,5.2,"AAC,SBC",Micro-USB,IPX4,Cosmic Black,80,2024,1,4.5,3207,Gaming,In-Ear,Budget,Excellent,Medium,Standard,Noise Combat Z
boAt,Airdopes 280 ANC,Wireless,Bluetooth,Dynamic,15,22000,16,107.3,0.0117,6.8,True,True,True,22.5,5.0,SBC,USB-C,Not Rated,Dark Green,130,2021,1,4.1,1760,Music/Audiophile,In-Ear,Mid-Range,Good,Medium,Standard,boAt Airdopes 280 ANC
Sony,WF-XB700,Wireless,Bluetooth,Balanced Armature,18,22000,32,111.5,0.01,4.1,True,False,True,24.5,5.0,"aptX HD,aptX,AAC,SBC",USB-C,Not Rated,Silver,160,2021,2,3.8,1786,Commuting/Travel,In-Ear,Mid-Range,Average,Medium,Extended,Sony WF-XB700
boAt,Airdopes Flex,Wireless,Bluetooth,Balanced Armature,20,20000,32,101.3,0.0033,9.5,True,False,False,7.9,5.0,"aptX HD,aptX,AAC,SBC",Lightning,Not Rated,Navy,270,2018,2,4.0,22212,Work/Office,In-Ear,Premium,Good,Low,Extended,boAt Airdopes Flex
JBL,Tour Pro 2,Wireless,Bluetooth,Hybrid,10,24000,22,105.6,0.0146,4.3,True,False,True,44.8,5.3,"aptX HD,aptX,AAC,SBC",USB-C,Not Rated,Sand,130,2019,1,4.5,681,Hi-Fi/Reference,In-Ear,Mid-Range,Excellent,High,Standard,JBL Tour Pro 2
Realme,Buds Air 6,Wireless,Bluetooth,Balanced Armature,15,40000,16,101.9,0.0051,6.1,True,False,True,14.6,5.1,"LDAC,AAC,SBC",USB-C,IP55,Indigo,170,2024,2,3.9,1440,Commuting/Travel,In-Ear,Mid-Range,Average,Low,Extended,Realme Buds Air 6
Xiaomi,Redmi Buds Essential,Wireless,Bluetooth,Dynamic,20,20000,16,112.0,0.0137,5.5,True,False,False,8.8,5.3,"LDAC,AAC,SBC",USB-C,Not Rated,Rose Gold,240,2021,1,3.8,3733,Budget/Everyday,In-Ear,Mid-Range,Average,Low,Standard,Xiaomi Redmi Buds Essential
Sony,WF-C700N,Wireless,Bluetooth,Balanced Armature,15,22000,22,103.7,0.0056,10.2,True,True,False,19.3,Multipoint 5.3,SBC,USB-C,IP54,Graphite,140,2024,1,4.4,803,Gaming,In-Ear,Mid-Range,Good,Low,Standard,Sony WF-C700N
Skullcandy,Rail,Wireless,Bluetooth,Balanced Armature,15,24000,22,105.8,0.0143,5.4,True,True,False,36.4,5.0,SBC,USB-C,IPX7,Brown,170,2021,1,4.4,2242,Work/Office,In-Ear,Mid-Range,Good,Medium,Standard,Skullcandy Rail
Oppo,Enco Buds2,Wireless,Bluetooth,Hybrid,20,22000,16,100.1,0.0092,6.7,True,False,True,25.6,5.3,"aptX,AAC,SBC",USB-C,Not Rated,Pearl White,140,2023,2,4.6,1295,Gaming,In-Ear,Mid-Range,Excellent,Medium,Extended,Oppo Enco Buds2
boAt,Airdopes 161,Wireless,Bluetooth,Dynamic,20,40000,32,108.0,0.0033,7.2,True,True,True,22.6,5.2,SBC,USB-C,IPX2,Black,350,2023,1,4.0,598,Sport/Fitness,In-Ear,Premium,Good,Medium,Standard,boAt Airdopes 161
Beats,Studio Buds Plus,Wireless,Bluetooth,Dynamic,18,40000,16,106.5,0.0078,9.8,True,False,False,31.5,5.0,SBC,Micro-USB,IP55,White,110,2018,2,4.0,6520,Budget/Everyday,In-Ear,Mid-Range,Good,Medium,Extended,Beats Studio Buds Plus
JBL,Endurance Peak 3,Wireless,Bluetooth,Balanced Armature,15,40000,22,111.6,0.0122,10.2,True,True,False,35.1,5.3,SBC,USB-C,IP55,Midnight Blue,170,2019,2,4.7,310,Sport/Fitness,In-Ear,Mid-Range,Excellent,Medium,Extended,JBL Endurance Peak 3
Logitech,Zone True Wireless,Wireless,Bluetooth,Dynamic,10,22000,32,104.9,0.0046,8.5,True,True,True,49.1,5.3,"aptX HD,aptX,AAC,SBC",Micro-USB,IPX7,Carbon,230,2022,1,4.3,7537,Studio/Pro,In-Ear,Mid-Range,Good,High,Standard,Logitech Zone True Wireless
Sennheiser,Momentum True Wireless 3,Wireless,Bluetooth,Dynamic,15,20000,22,110.5,0.0098,12.0,True,False,False,40.1,5.1,SBC,USB-C,IP54,Forest Green,110,2019,2,4.8,1418,Hi-Fi/Reference,In-Ear,Mid-Range,Excellent,High,Extended,Sennheiser Momentum True Wireless 3
Skullcandy,Dime 3,Wireless,Bluetooth,Balanced Armature,15,20000,18,102.8,0.013,4.2,True,False,False,36.1,5.1,SBC,USB-C,IPX7,Dark Green,120,2021,2,4.8,2485,Sport/Fitness,In-Ear,Mid-Range,Excellent,Medium,Extended,Skullcandy Dime 3
Xiaomi,Redmi Buds Essential,Wireless,Bluetooth,Dynamic,18,40000,16,100.2,0.009,8.0,True,False,False,51.8,5.3,"LDAC,aptX,AAC,SBC",USB-C,IPX8,Gunmetal,150,2023,1,4.8,383,Commuting/Travel,In-Ear,Mid-Range,Excellent,High,Standard,Xiaomi Redmi Buds Essential
Samsung,Galaxy Buds FE,Wireless,Bluetooth,Dynamic,10,40000,16,107.8,0.0129,4.0,True,True,False,22.4,Multipoint 5.3,"AAC,SBC",Micro-USB,IPX4,Navy,200,2020,1,4.6,421,Music/Audiophile,In-Ear,Mid-Range,Excellent,Medium,Standard,Samsung Galaxy Buds FE
OnePlus,Buds Z2,Wireless,Bluetooth,Balanced Armature,20,40000,18,109.2,0.0119,4.3,True,False,True,15.1,5.3,"aptX,AAC,SBC",Micro-USB,IPX2,Matte Black,170,2022,1,4.4,32,Budget/Everyday,In-Ear,Mid-Range,Good,Low,Standard,OnePlus Buds Z2
Philips,TAT3508,Wireless,Bluetooth,Balanced Armature,18,40000,18,101.8,0.0068,8.8,True,False,True,34.6,5.0,"LDAC,AAC,SBC",Micro-USB,IP54,White,180,2021,1,4.1,3353,Bass/Casual,In-Ear,Mid-Range,Good,Medium,Standard,Philips TAT3508
Oppo,Enco Air 3,Wireless,Bluetooth,Dynamic,20,40000,16,104.0,0.0128,7.1,True,False,False,17.5,5.2,SBC,USB-C,Not Rated,Champagne,110,2018,2,4.3,178,Commuting/Travel,In-Ear,Mid-Range,Good,Low,Extended,Oppo Enco Air 3
Xiaomi,Buds 5 Pro,Wireless,Bluetooth,Hybrid,18,40000,16,109.3,0.0146,12.0,True,False,False,33.5,5.3,"AAC,SBC",USB-C,IP57,Black,160,2023,2,4.6,571,Music/Audiophile,In-Ear,Mid-Range,Excellent,Medium,Extended,Xiaomi Buds 5 Pro
JBL,Tune Flex,Wireless,Bluetooth,Balanced Armature,20,40000,18,102.4,0.0039,11.1,True,False,True,38.6,5.3,"LDAC,AAC,SBC",USB-C,IP55,Pearl White,170,2022,1,4.1,988,Commuting/Travel,In-Ear,Mid-Range,Good,Medium,Standard,JBL Tune Flex
Philips,TAT3508,Wireless,Bluetooth,Balanced Armature,10,24000,32,100.4,0.0119,11.1,True,False,False,31.5,5.2,SBC,Micro-USB,IPX4,Gunmetal,70,2024,1,4.1,6191,Music/Casual,In-Ear,Budget,Good,Medium,Standard,Philips TAT3508
pTron,Bassbuds Jade,Wireless,Bluetooth,Hybrid,18,20000,16,100.6,0.0093,6.7,True,False,False,29.1,5.0,"AAC,SBC",USB-C,IP55,Titanium,160,2024,2,4.6,1145,Music/Casual,In-Ear,Mid-Range,Excellent,Medium,Extended,pTron Bassbuds Jade
Sennheiser,CX True Wireless,Wireless,Bluetooth,Balanced Armature,15,20000,22,109.0,0.0056,9.3,True,True,False,19.3,Multipoint 5.3,"aptX Adaptive,aptX HD,AAC,SBC",Micro-USB,Not Rated,Cream,190,2018,2,4.4,8128,Hi-Fi/Reference,In-Ear,Mid-Range,Good,Low,Extended,Sennheiser CX True Wireless
Shokz,OpenDots One,Wireless,Bluetooth,Planar,18,22000,16,109.6,0.0146,6.8,True,False,True,34.6,5.2,"aptX,AAC,SBC",USB-C,IPX7,Forest Green,180,2022,2,3.9,2015,Budget/Everyday,In-Ear,Mid-Range,Average,Medium,Extended,Shokz OpenDots One
CMF,Buds Pro,Wireless,Bluetooth,Balanced Armature,18,40000,22,102.0,0.008,7.8,True,False,True,26.9,5.0,"AAC,SBC",USB-C,IP54,Black,80,2022,1,4.9,504,Music/Audiophile,In-Ear,Budget,Excellent,Medium,Standard,CMF Buds Pro
Skullcandy,Dime 3,Wireless,Bluetooth,Dynamic,20,20000,32,111.1,0.0058,7.7,True,False,True,39.6,5.2,"aptX Adaptive,aptX HD,AAC,SBC",USB-C,IPX7,Sand,120,2019,1,4.4,760,Sport/Fitness,In-Ear,Mid-Range,Good,Medium,Standard,Skullcandy Dime 3
JBL,Wave Beam,Wireless,Bluetooth,Balanced Armature,18,40000,32,107.0,0.0114,4.6,True,True,False,30.6,5.3,"AAC,SBC",USB-C,IPX8,Cream,230,2024,2,4.2,2226,Budget/Everyday,In-Ear,Mid-Range,Good,Medium,Extended,JBL Wave Beam
Jabra,Elite 5,Wireless,Bluetooth,Hybrid,10,20000,18,111.2,0.0147,10.3,True,False,False,16.4,5.0,"aptX,AAC,SBC",USB-C,IPX4,Graphite,90,2024,1,4.4,1524,Bass/Casual,In-Ear,Budget,Good,Low,Standard,Jabra Elite 5
Sony,WF-XB700,Wireless,Bluetooth,Planar,20,24000,16,106.6,0.0105,6.0,True,False,False,57.2,5.0,"AAC,SBC",USB-C,IPX4,Silver,120,2019,2,4.2,243,Work/Office,In-Ear,Mid-Range,Good,High,Extended,Sony WF-XB700
Samsung,Galaxy Buds FE,Wireless,Bluetooth,Dynamic,20,20000,32,100.0,0.0032,5.3,True,True,True,15.2,5.3,"AAC,SBC",USB-C,IPX7,Midnight Blue,280,2019,1,4.2,2442,Music/Audiophile,In-Ear,Premium,Good,Low,Standard,Samsung Galaxy Buds FE
OnePlus,Buds Pro 2,Wireless,Bluetooth,Dynamic,18,20000,18,107.1,0.0116,5.0,True,False,True,32.2,5.3,"LDAC,aptX,AAC,SBC",Micro-USB,IP55,Pearl White,290,2021,1,4.8,6045,Hi-Fi/Reference,In-Ear,Premium,Excellent,Medium,Standard,OnePlus Buds Pro 2
boAt,Airdopes 280 ANC,Wireless,Bluetooth,Dynamic,18,40000,18,103.3,0.0127,11.4,True,True,False,55.6,5.2,"AAC,SBC",USB-C,Not Rated,Space Gray,210,2019,1,4.9,568,Music/Audiophile,In-Ear,Mid-Range,Excellent,High,Standard,boAt Airdopes 280 ANC
Nothing,Ear (a),Wireless,Bluetooth,Dynamic,18,20000,18,110.0,0.0124,6.2,True,True,False,52.3,5.3,"aptX Adaptive,aptX HD,AAC,SBC",USB-C,Not Rated,Brown,300,2020,1,4.0,5409,Work/Office,In-Ear,Premium,Good,High,Standard,Nothing Ear (a)
Sennheiser,Momentum True Wireless 3,Wireless,Bluetooth,Dynamic,10,22000,32,109.9,0.0109,6.0,True,True,False,27.9,4.2,"aptX HD,aptX,AAC,SBC",Micro-USB,IP57,Dark Green,190,2024,1,4.5,9533,Gaming,In-Ear,Mid-Range,Excellent,Medium,Standard,Sennheiser Momentum True Wireless 3
Logitech,G Fits,Wireless,Bluetooth,Dynamic,20,22000,18,103.9,0.0056,9.3,True,False,True,16.3,5.2,"aptX HD,aptX,AAC,SBC",USB-C,IPX8,Pearl White,180,2021,2,4.3,2583,Music/Casual,In-Ear,Mid-Range,Good,Low,Extended,Logitech G Fits
Samsung,Galaxy Buds Live,Wireless,Bluetooth,Balanced Armature,10,40000,18,109.0,0.01,10.5,True,False,False,36.3,5.2,"AAC,SBC",USB-C,IPX2,Gunmetal,70,2023,1,4.2,2446,Music/Audiophile,In-Ear,Budget,Good,Medium,Standard,Samsung Galaxy Buds Live
Logitech,G Fits,Wireless,Bluetooth,Dynamic,15,20000,18,106.4,0.013,7.3,True,True,True,34.4,5.3,"aptX HD,aptX,AAC,SBC",USB-C,Not Rated,Sand,420,2021,1,4.5,177,Studio/Pro,In-Ear,Premium,Excellent,Medium,Standard,Logitech G Fits
Logitech,Zone True Wireless,Wireless,Bluetooth,Balanced Armature,20,20000,18,111.6,0.0092,10.4,True,False,False,16.0,5.3,"LHDC,AAC,SBC",USB-C,Not Rated,Sand,80,2018,1,3.9,2877,Gaming,In-Ear,Budget,Average,Low,Standard,Logitech Zone True Wireless
Beats,Studio Buds,Wireless,Bluetooth,Balanced Armature,15,22000,16,109.5,0.0082,4.9,True,True,True,43.3,5.2,"LDAC,aptX,AAC,SBC",USB-C,IP55,Space Gray,440,2023,1,4.4,1641,Bass/Casual,In-Ear,Premium,Good,High,Standard,Beats Studio Buds
Skullcandy,Dime,Wireless,Bluetooth,Hybrid,20,20000,18,103.3,0.0074,4.5,True,False,False,23.0,5.3,"aptX,AAC,SBC",USB-C,Not Rated,Graphite,90,2024,1,3.9,11746,Gaming,In-Ear,Budget,Average,Medium,Standard,Skullcandy Dime
Xiaomi,Redmi Buds Essential,Wireless,Bluetooth,Dynamic,15,22000,18,101.0,0.0076,9.0,True,False,False,33.3,5.0,"AAC,SBC",USB-C,IPX4,Red,150,2021,2,4.1,1148,Studio/Pro,In-Ear,Mid-Range,Good,Medium,Extended,Xiaomi Redmi Buds Essential
Shokz,OpenFit,Wireless,Bluetooth,Balanced Armature,20,40000,32,104.1,0.0071,9.3,True,True,False,36.2,5.0,SBC,Micro-USB,IP55,Graphite,120,2023,2,4.6,3318,Music/Casual,In-Ear,Mid-Range,Excellent,Medium,Extended,Shokz OpenFit
Apple,AirPods 2,Wireless,Bluetooth,Balanced Armature,15,40000,18,108.3,0.0141,9.6,True,False,False,15.8,5.2,SBC,Micro-USB,Not Rated,Navy,80,2020,1,4.7,1630,Commuting/Travel,In-Ear,Budget,Excellent,Low,Standard,Apple AirPods 2
Jabra,Elite 5,Wireless,Bluetooth,Dynamic,18,24000,32,110.5,0.0102,4.2,True,True,False,33.8,Multipoint 5.3,"LDAC,aptX,AAC,SBC",USB-C,Not Rated,Brown,330,2020,2,3.8,4378,Music/Audiophile,In-Ear,Premium,Average,Medium,Extended,Jabra Elite 5
Redmi,Buds 6,Wireless,Bluetooth,Planar,15,24000,18,103.1,0.0107,4.5,True,True,False,28.5,4.2,"aptX,AAC,SBC",USB-C,IPX4,Cream,200,2020,2,3.9,1184,Studio/Pro,In-Ear,Mid-Range,Average,Medium,Extended,Redmi Buds 6
Xiaomi,Redmi Buds Essential,Wireless,Bluetooth,Hybrid,10,24000,22,111.1,0.0081,7.9,True,True,False,18.1,5.2,"AAC,SBC",USB-C,IP57,White,210,2024,1,4.6,1225,Hi-Fi/Reference,In-Ear,Mid-Range,Excellent,Low,Standard,Xiaomi Redmi Buds Essential
boAt,Airdopes 170,Wireless,Bluetooth,Dynamic,18,22000,32,107.8,0.0141,5.6,True,True,False,50.3,5.0,SBC,Lightning,IPX4,Space Gray,100,2024,2,4.7,633,Budget/Everyday,In-Ear,Mid-Range,Excellent,High,Extended,boAt Airdopes 170
Edifier,TWS1 Pro,Wireless,Bluetooth,Planar,20,20000,32,104.4,0.0103,6.8,True,True,False,34.7,5.2,"aptX HD,aptX,AAC,SBC",Lightning,IP54,Midnight Blue,240,2021,2,4.4,3785,Studio/Pro,In-Ear,Mid-Range,Good,Medium,Extended,Edifier TWS1 Pro
Anker Soundcore,Life P3,Wireless,Bluetooth,Hybrid,15,20000,22,108.5,0.0106,7.3,True,True,False,49.7,5.0,"LDAC,AAC,SBC",Micro-USB,Not Rated,Gunmetal,200,2018,1,4.7,3390,Gaming,In-Ear,Mid-Range,Excellent,High,Standard,Anker Soundcore Life P3
Nothing,Ear 1,Wireless,Bluetooth,Dynamic,20,24000,32,108.1,0.0139,6.0,True,False,False,45.2,Multipoint 5.3,"aptX HD,aptX,AAC,SBC",Micro-USB,IPX4,Sand,260,2023,2,4.6,1201,Studio/Pro,In-Ear,Premium,Excellent,High,Extended,Nothing Ear 1
Xiaomi,Buds 4 Pro,Wireless,Bluetooth,Dynamic,18,22000,22,106.7,0.0133,9.3,True,False,False,34.7,5.2,"aptX Adaptive,aptX HD,AAC,SBC",Lightning,IPX2,Indigo,200,2020,2,4.6,4323,Work/Office,In-Ear,Mid-Range,Excellent,Medium,Extended,Xiaomi Buds 4 Pro
boAt,Nirvana Zenith,Wireless,Bluetooth,Hybrid,15,20000,32,105.4,0.014,7.9,True,True,True,41.7,4.2,"aptX HD,aptX,AAC,SBC",USB-C,IPX4,Rose Gold,290,2019,2,4.7,337,Bass/Casual,In-Ear,Premium,Excellent,High,Extended,boAt Nirvana Zenith
Philips,TAT1108,Wireless,Bluetooth,Hybrid,10,20000,22,103.5,0.0033,6.3,True,True,False,25.5,5.2,"AAC,SBC",USB-C,IPX7,Gunmetal,180,2020,1,4.5,2704,Studio/Pro,In-Ear,Mid-Range,Excellent,Medium,Standard,Philips TAT1108
Philips,TAT2206,Wireless,Bluetooth,Dynamic,10,24000,32,102.6,0.0085,10.2,True,True,False,18.6,5.0,"LDAC,AAC,SBC",Lightning,IPX2,Carbon,270,2018,1,4.5,1725,Gaming,In-Ear,Premium,Excellent,Low,Standard,Philips TAT2206
CMF,Buds Pro,Wireless,Bluetooth,Planar,10,40000,22,107.8,0.0081,5.5,True,False,True,49.2,5.2,"LDAC,aptX,AAC,SBC",Micro-USB,IP54,Gunmetal,120,2018,1,4.1,13879,Commuting/Travel,In-Ear,Mid-Range,Good,High,Standard,CMF Buds Pro
Philips,TAT1108,Wireless,Bluetooth,Dynamic,18,22000,18,109.4,0.0115,11.6,True,True,False,47.7,5.0,"aptX HD,aptX,AAC,SBC",Micro-USB,IPX2,Silver,240,2018,1,4.4,1126,Commuting/Travel,In-Ear,Mid-Range,Good,High,Standard,Philips TAT1108
Sony,WF-1000XM4,Wireless,Bluetooth,Dynamic,10,20000,16,105.4,0.01,11.9,True,False,True,29.7,5.1,"aptX HD,aptX,AAC,SBC",USB-C,IP57,Champagne,160,2021,1,4.3,5466,Sport/Fitness,In-Ear,Mid-Range,Good,Medium,Standard,Sony WF-1000XM4
Philips,TAT1108,Wireless,Bluetooth,Balanced Armature,15,24000,32,110.8,0.0128,5.9,True,True,False,18.9,5.2,"LHDC,AAC,SBC",USB-C,IP57,Brown,310,2022,2,3.9,1716,Sport/Fitness,In-Ear,Premium,Average,Low,Extended,Philips TAT1108
Oppo,Enco X2,Wireless,Bluetooth,Balanced Armature,15,24000,16,108.3,0.0093,10.3,True,False,False,36.4,5.0,"aptX,AAC,SBC",USB-C,IPX8,Rose Gold,160,2023,1,3.8,2904,Music/Casual,In-Ear,Mid-Range,Average,Medium,Standard,Oppo Enco X2
Sony,WF-C700N,Wireless,Bluetooth,Planar,10,22000,22,102.9,0.013,6.9,True,False,True,19.1,5.3,"LHDC,AAC,SBC",USB-C,IPX8,Indigo,100,2023,2,4.2,1535,Music/Casual,In-Ear,Mid-Range,Good,Low,Extended,Sony WF-C700N
Jabra,Elite 3,Wireless,Bluetooth,Dynamic,18,24000,32,108.0,0.0092,7.5,True,False,False,24.7,5.0,"LDAC,AAC,SBC",Lightning,IP55,Champagne,210,2021,2,4.1,996,Music/Casual,In-Ear,Mid-Range,Good,Medium,Extended,Jabra Elite 3
Boult,X Mustang,Wireless,Bluetooth,Planar,10,24000,22,109.1,0.0032,6.7,True,False,True,36.0,5.2,"AAC,SBC",Lightning,IP57,Brown,160,2021,2,4.4,10835,Commuting/Travel,In-Ear,Mid-Range,Good,Medium,Extended,Boult X Mustang
Logitech,Zone True Wireless,Wireless,Bluetooth,Dynamic,18,20000,18,104.0,0.0148,9.5,True,True,False,36.3,5.3,"LDAC,AAC,SBC",USB-C,IP55,Midnight Blue,260,2019,2,4.0,401,Music/Casual,In-Ear,Premium,Good,Medium,Extended,Logitech Zone True Wireless
Xiaomi,Buds 5 Pro,Wireless,Bluetooth,Dynamic,18,40000,32,100.6,0.0056,6.6,True,False,False,29.4,5.2,"LDAC,AAC,SBC",Micro-USB,IP55,Pearl White,200,2019,1,4.0,1031,Music/Casual,In-Ear,Mid-Range,Good,Medium,Standard,Xiaomi Buds 5 Pro
Redmi,Buds 6,Wireless,Bluetooth,Balanced Armature,20,20000,32,108.6,0.0119,4.4,True,True,False,35.2,5.0,"AAC,SBC",USB-C,IPX4,Pearl White,190,2019,1,4.7,892,Music/Casual,In-Ear,Mid-Range,Excellent,Medium,Standard,Redmi Buds 6
JBL,Live Pro 2,Wireless,Bluetooth,Planar,18,40000,18,109.1,0.0096,7.6,True,True,True,24.8,5.0,"AAC,SBC",Micro-USB,IPX8,Dark Green,130,2023,1,3.8,3157,Bass/Casual,In-Ear,Mid-Range,Average,Medium,Standard,JBL Live Pro 2
boAt,Airdopes 141,Wireless,Bluetooth,Dynamic,18,20000,22,105.2,0.0146,6.1,True,False,False,53.8,5.2,"aptX,AAC,SBC",Micro-USB,IPX7,Black,170,2018,1,4.2,6214,Studio/Pro,In-Ear,Mid-Range,Good,High,Standard,boAt Airdopes 141
Nothing,Ear,Wireless,Bluetooth,Balanced Armature,10,22000,18,102.9,0.0055,7.5,True,False,False,34.8,5.0,"LDAC,AAC,SBC",USB-C,IP57,Black,160,2022,2,4.5,16673,Music/Casual,In-Ear,Mid-Range,Excellent,Medium,Extended,Nothing Ear
Huawei,FreeBuds Pro 2,Wireless,Bluetooth,Dynamic,18,20000,32,104.9,0.0144,5.9,True,True,False,40.6,5.0,"AAC,SBC",Micro-USB,Not Rated,Matte Black,160,2024,1,4.4,2641,Work/Office,In-Ear,Mid-Range,Good,High,Standard,Huawei FreeBuds Pro 2
Sennheiser,Momentum True Wireless 4,Wireless,Bluetooth,Hybrid,18,24000,32,111.5,0.007,6.0,True,True,True,45.9,5.1,"LDAC,AAC,SBC",USB-C,Not Rated,Rose Gold,280,2019,1,3.9,3171,Budget/Everyday,In-Ear,Premium,Average,High,Standard,Sennheiser Momentum True Wireless 4
OnePlus,Buds Pro 2,Wireless,Bluetooth,Balanced Armature,18,40000,22,111.1,0.0042,7.3,True,False,False,24.9,4.2,"LDAC,AAC,SBC",USB-C,IP55,Gunmetal,240,2018,1,4.1,6589,Hi-Fi/Reference,In-Ear,Mid-Range,Good,Medium,Standard,OnePlus Buds Pro 2
Beats,Studio Buds,Wireless,Bluetooth,Dynamic,20,40000,18,111.7,0.0045,6.8,True,True,True,16.2,5.2,"AAC,SBC",Micro-USB,Not Rated,Forest Green,310,2020,2,4.3,589,Music/Audiophile,In-Ear,Premium,Good,Low,Extended,Beats Studio Buds
Noise,Air Buds Max,Wireless,Bluetooth,Planar,15,40000,32,112.0,0.0074,9.4,True,False,False,32.0,5.2,"AAC,SBC",Micro-USB,IPX2,Red,140,2020,2,3.7,1976,Studio/Pro,In-Ear,Mid-Range,Average,Medium,Extended,Noise Air Buds Max
pTron,Bassbuds Duo,Wireless,Bluetooth,Planar,20,40000,22,109.4,0.0094,11.2,True,True,True,30.9,5.3,SBC,USB-C,IPX7,Champagne,140,2024,2,4.5,645,Studio/Pro,In-Ear,Mid-Range,Excellent,Medium,Extended,pTron Bassbuds Duo
Skullcandy,Dime 3,Wireless,Bluetooth,Dynamic,18,40000,32,100.6,0.0099,11.9,True,True,True,26.0,5.0,SBC,Lightning,IP55,Carbon,150,2023,2,4.4,4494,Commuting/Travel,In-Ear,Mid-Range,Good,Medium,Extended,Skullcandy Dime 3
Xiaomi,Buds 4 Pro,Wireless,Bluetooth,Dynamic,10,24000,16,106.0,0.0128,5.8,True,True,True,18.3,5.1,"LDAC,AAC,SBC",Lightning,IP57,Carbon,310,2019,1,4.6,751,Music/Audiophile,In-Ear,Premium,Excellent,Low,Standard,Xiaomi Buds 4 Pro
boAt,Nirvana Crystl,Wireless,Bluetooth,Dynamic,18,40000,16,104.0,0.0146,6.0,True,True,False,29.3,4.2,"LDAC,AAC,SBC",USB-C,Not Rated,Space Gray,360,2024,1,4.2,754,Music/Audiophile,In-Ear,Premium,Good,Medium,Standard,boAt Nirvana Crystl
Jabra,Elite 5,Wireless,Bluetooth,Hybrid,20,24000,32,100.1,0.0082,9.8,True,False,False,38.6,5.3,"aptX,AAC,SBC",Lightning,IP57,Forest Green,90,2023,2,4.7,17183,Studio/Pro,In-Ear,Budget,Excellent,Medium,Extended,Jabra Elite 5
Xiaomi,Redmi Buds Essential,Wireless,Bluetooth,Dynamic,10,22000,32,101.7,0.0057,7.7,True,False,False,27.5,5.2,"AAC,SBC",Lightning,IPX4,Pearl White,80,2019,2,4.6,354,Gaming,In-Ear,Budget,Excellent,Medium,Extended,Xiaomi Redmi Buds Essential
Samsung,Galaxy Buds3,Wireless,Bluetooth,Planar,15,22000,18,100.6,0.0047,8.9,True,False,False,52.1,5.3,"LDAC,AAC,SBC",USB-C,IPX2,Rose Gold,150,2019,1,4.6,950,Music/Casual,In-Ear,Mid-Range,Excellent,High,Standard,Samsung Galaxy Buds3
Edifier,X3,Wireless,Bluetooth,Dynamic,18,24000,18,106.4,0.0031,6.0,True,False,False,38.9,5.3,"aptX,AAC,SBC",USB-C,Not Rated,Red,150,2021,2,4.1,580,Budget/Everyday,In-Ear,Mid-Range,Good,Medium,Extended,Edifier X3
Sennheiser,CX Plus,Wireless,Bluetooth,Planar,15,20000,18,110.7,0.014,4.3,True,False,False,11.3,5.0,SBC,USB-C,IPX7,Space Gray,180,2018,2,4.7,59033,Sport/Fitness,In-Ear,Mid-Range,Excellent,Low,Extended,Sennheiser CX Plus
